150222B1.CXS,X,0,441,441
150222B2.CXS,X,0,441,441
150222F1.CXS,X,0,441,441
150222F2.CXS,X,0,441,441
150223B1.CXS,X,0,82,82
150223B2.CXS,X,0,82,82
150223F1.CXS,X,0,82,82
150223F2.CXS,X,0,82,82
150224B1.CXS,X,0,446,446
150224B2.CXS,X,0,446,446
150224F1.CXS,X,0,446,446
150224F2.CXS,X,0,446,446
150225B1.CXS,X,1,442,443
150225B2.CXS,X,0,443,443
150225F1.CXS,X,0,443,443
150225F2.CXS,X,0,443,443
150226B1.CXS,X,37,404,441
150226B2.CXS,X,24,417,441
150226F1.CXS,X,2,439,441
150226F2.CXS,X,5,436,441
150227B1.CXS,X,26,421,447
150227B2.CXS,X,17,430,447
150227F1.CXS,X,2,445,447
150227F2.CXS,X,7,440,447
150228B1.CXS,X,33,409,442
150228B2.CXS,X,29,413,442
150228F1.CXS,X,4,438,442
150228F2.CXS,X,6,436,442
150301B1.CXS,X,36,407,443
150301B2.CXS,X,14,429,443
150301F1.CXS,X,1,442,443
150301F2.CXS,X,6,437,443
150302B1.CXS,X,24,422,446
150302B2.CXS,X,20,426,446
150302F1.CXS,X,0,446,446
150302F2.CXS,X,5,441,446
150303B1.CXS,X,34,410,444
150303B2.CXS,X,20,424,444
150303F1.CXS,X,1,443,444
150303F2.CXS,X,1,443,444
150304B1.CXS,X,41,403,444
150304B2.CXS,X,20,424,444
150304F1.CXS,X,0,444,444
150304F2.CXS,X,9,435,444
150305B1.CXS,X,31,413,444
150305B2.CXS,X,14,430,444
150305F1.CXS,X,4,440,444
150305F2.CXS,X,9,435,444
150306B1.CXS,X,34,412,446
150306B2.CXS,X,17,429,446
150306F1.CXS,X,0,446,446
150306F2.CXS,X,4,442,446
150307B1.CXS,X,16,426,442
150307B2.CXS,X,17,425,442
150307F1.CXS,X,0,442,442
150307F2.CXS,X,4,438,442
150308B1.CXS,X,27,419,446
150308B2.CXS,X,16,430,446
150308F1.CXS,X,0,446,446
150308F2.CXS,X,4,442,446
150309B1.CXS,X,26,363,389
150309B2.CXS,X,16,373,389
150309F1.CXS,X,0,389,389
150309F2.CXS,X,0,389,389
150310B1.CXS,X,6,41,47
150310B2.CXS,X,2,45,47
150310F1.CXS,X,1,46,47
150310F2.CXS,X,1,46,47
150311B1.CXS,X,20,424,444
150311B2.CXS,X,24,420,444
150311F1.CXS,X,0,444,444
150311F2.CXS,X,3,441,444
150312B1.CXS,X,30,416,446
150312B2.CXS,X,15,431,446
150312F1.CXS,X,0,446,446
150312F2.CXS,X,6,440,446
150313B1.CXS,X,32,414,446
150313B2.CXS,X,13,433,446
150313F1.CXS,X,1,445,446
150313F2.CXS,X,3,443,446
150314B1.CXS,X,35,411,446
150314B2.CXS,X,22,424,446
150314F1.CXS,X,0,446,446
150314F2.CXS,X,4,442,446
150315B1.CXS,X,27,415,442
150315B2.CXS,X,17,425,442
150315F1.CXS,X,0,442,442
150315F2.CXS,X,3,439,442
150316B1.CXS,X,34,411,445
150316B2.CXS,X,20,425,445
150316F1.CXS,X,0,445,445
150316F2.CXS,X,5,440,445
150317B1.CXS,X,18,414,432
150317B2.CXS,X,10,422,432
150317F1.CXS,X,0,432,432
150317F2.CXS,X,3,429,432
150318B1.CXS,X,29,410,439
150318B2.CXS,X,21,418,439
150318F1.CXS,X,1,438,439
150318F2.CXS,X,4,435,439
150319B1.CXS,X,28,415,443
150319B2.CXS,X,18,425,443
150319F1.CXS,X,0,443,443
150319F2.CXS,X,9,434,443
150320B1.CXS,X,29,413,442
150320B2.CXS,X,16,426,442
150320F1.CXS,X,0,442,442
150320F2.CXS,X,4,438,442
150321B1.CXS,X,23,422,445
150321B2.CXS,X,18,427,445
150321F1.CXS,X,0,445,445
150321F2.CXS,X,6,439,445
150322B1.CXS,X,34,412,446
150322B2.CXS,X,21,425,446
150322F1.CXS,X,1,445,446
150322F2.CXS,X,3,443,446
150323B1.CXS,X,17,425,442
150323B2.CXS,X,16,426,442
150323F1.CXS,X,0,442,442
150323F2.CXS,X,0,442,442
150324B1.CXS,X,22,422,444
150324B2.CXS,X,12,432,444
150324F1.CXS,X,0,444,444
150324F2.CXS,X,3,441,444
150325B1.CXS,X,26,417,443
150325B2.CXS,X,21,422,443
150325F1.CXS,X,0,443,443
150325F2.CXS,X,4,439,443
150326B1.CXS,X,22,412,434
150326B2.CXS,X,15,419,434
150326F1.CXS,X,0,434,434
150326F2.CXS,X,3,431,434
150327B1.CXS,X,23,423,446
150327B2.CXS,X,22,424,446
150327F1.CXS,X,3,443,446
150327F2.CXS,X,5,441,446
150328B1.CXS,X,41,405,446
150328B2.CXS,X,16,430,446
150328F1.CXS,X,1,445,446
150328F2.CXS,X,2,444,446
150329B1.CXS,X,20,421,441
150329B2.CXS,X,12,429,441
150329F1.CXS,X,0,441,441
150329F2.CXS,X,5,436,441
150330B1.CXS,X,24,414,438
150330B2.CXS,X,17,421,438
150330F1.CXS,X,0,438,438
150330F2.CXS,X,4,434,438
150331B1.CXS,X,31,414,445
150331B2.CXS,X,27,418,445
150331F1.CXS,X,0,445,445
150331F2.CXS,X,2,443,445
150401B1.CXS,X,25,415,440
150401B2.CXS,X,19,421,440
150401F1.CXS,X,0,440,440
150401F2.CXS,X,0,440,440
150402B1.CXS,X,26,415,441
150402B2.CXS,X,12,429,441
150402F1.CXS,X,0,441,441
150402F2.CXS,X,1,440,441
150403B1.CXS,X,20,420,440
150403B2.CXS,X,11,429,440
150403F1.CXS,X,1,439,440
150403F2.CXS,X,7,433,440
150404B1.CXS,X,8,434,442
150404B2.CXS,X,8,434,442
150404F1.CXS,X,0,442,442
150404F2.CXS,X,2,440,442
150405B1.CXS,X,22,421,443
150405B2.CXS,X,18,425,443
150405F1.CXS,X,2,441,443
150405F2.CXS,X,1,442,443
150406B1.CXS,X,24,414,438
150406B2.CXS,X,18,420,438
150406F1.CXS,X,0,438,438
150406F2.CXS,X,2,436,438
150407B1.CXS,X,22,423,445
150407B2.CXS,X,20,425,445
150407F1.CXS,X,0,445,445
150407F2.CXS,X,1,444,445
150408B1.CXS,X,19,423,442
150408B2.CXS,X,12,430,442
150408F1.CXS,X,0,442,442
150408F2.CXS,X,1,441,442
150409B1.CXS,X,29,395,424
150409B2.CXS,X,17,407,424
150409F1.CXS,X,0,424,424
150409F2.CXS,X,2,422,424
150410B1.CXS,X,36,400,436
150410B2.CXS,X,12,424,436
150410F1.CXS,X,1,435,436
150410F2.CXS,X,6,430,436
150411B1.CXS,X,28,410,438
150411B2.CXS,X,19,419,438
150411F1.CXS,X,4,434,438
150411F2.CXS,X,4,434,438
150412B1.CXS,X,22,420,442
150412B2.CXS,X,16,426,442
150412F1.CXS,X,1,441,442
150412F2.CXS,X,3,439,442
150413B1.CXS,X,37,409,446
150413B2.CXS,X,23,423,446
150413F1.CXS,X,0,446,446
150413F2.CXS,X,2,444,446
150414B1.CXS,X,26,419,445
150414B2.CXS,X,52,393,445
150414F1.CXS,X,2,443,445
150414F2.CXS,X,42,403,445
150415B1.CXS,X,33,409,442
150415B2.CXS,X,18,424,442
150415F1.CXS,X,0,442,442
150415F2.CXS,X,4,438,442
150416B1.CXS,X,27,414,441
150416B2.CXS,X,16,425,441
150416F1.CXS,X,0,441,441
150416F2.CXS,X,3,438,441
150417B1.CXS,X,27,264,291
150417B2.CXS,X,14,277,291
150417F1.CXS,X,3,288,291
150417F2.CXS,X,4,287,291
150418B1.CXS,X,39,407,446
150418B2.CXS,X,53,393,446
150418F1.CXS,X,2,444,446
150418F2.CXS,X,41,405,446
150419B1.CXS,X,48,392,440
150419B2.CXS,X,26,414,440
150419F1.CXS,X,2,438,440
150419F2.CXS,X,5,435,440
150420B1.CXS,X,43,384,427
150420B2.CXS,X,23,404,427
150420F1.CXS,X,7,420,427
150420F2.CXS,X,8,419,427
150421B1.CXS,X,31,314,345
150421B2.CXS,X,11,334,345
150421F1.CXS,X,4,341,345
150421F2.CXS,X,9,336,345
150423B1.CXS,X,34,378,412
150423B2.CXS,X,19,393,412
150423F1.CXS,X,9,403,412
150423F2.CXS,X,10,402,412
150424B1.CXS,X,48,387,435
150424B2.CXS,X,103,332,435
150424F1.CXS,X,6,429,435
150424F2.CXS,X,87,348,435
150425B1.CXS,X,48,396,444
150425B2.CXS,X,25,419,444
150425F1.CXS,X,5,439,444
150425F2.CXS,X,5,439,444
150426B1.CXS,X,26,416,442
150426B2.CXS,X,15,427,442
150426F1.CXS,X,5,437,442
150426F2.CXS,X,7,435,442
150427B1.CXS,X,34,408,442
150427B2.CXS,X,22,420,442
150427F1.CXS,X,7,435,442
150427F2.CXS,X,11,431,442
150428B1.CXS,X,35,409,444
150428B2.CXS,X,19,425,444
150428F1.CXS,X,4,440,444
150428F2.CXS,X,7,437,444
150429B1.CXS,X,37,275,312
150429B2.CXS,X,15,297,312
150429F1.CXS,X,1,311,312
150429F2.CXS,X,5,307,312
150430B1.CXS,X,36,327,363
150430B2.CXS,X,16,347,363
150430F1.CXS,X,2,361,363
150430F2.CXS,X,2,361,363
150501B1.CXS,X,35,408,443
150501B2.CXS,X,9,434,443
150501F1.CXS,X,0,443,443
150501F2.CXS,X,3,440,443
150502B1.CXS,X,34,411,445
150502B2.CXS,X,24,421,445
150502F1.CXS,X,0,445,445
150502F2.CXS,X,3,442,445
150503B1.CXS,X,31,412,443
150503B2.CXS,X,20,423,443
150503F1.CXS,X,1,442,443
150503F2.CXS,X,4,439,443
150504B1.CXS,X,38,408,446
150504B2.CXS,X,25,421,446
150504F1.CXS,X,2,444,446
150504F2.CXS,X,4,442,446
150505B1.CXS,X,37,403,440
150505B2.CXS,X,18,422,440
150505F1.CXS,X,2,438,440
150505F2.CXS,X,3,437,440
150506B1.CXS,X,41,401,442
150506B2.CXS,X,24,418,442
150506F1.CXS,X,1,441,442
150506F2.CXS,X,4,438,442
150507B1.CXS,X,36,403,439
150507B2.CXS,X,14,425,439
150507F1.CXS,X,1,438,439
150507F2.CXS,X,6,433,439
150508B1.CXS,X,39,406,445
150508B2.CXS,X,17,428,445
150508F1.CXS,X,1,444,445
150508F2.CXS,X,1,444,445
150509B1.CXS,X,46,397,443
150509B2.CXS,X,23,420,443
150509F1.CXS,X,0,443,443
150509F2.CXS,X,4,439,443
150510B1.CXS,X,38,404,442
150510B2.CXS,X,25,417,442
