150222B1.CXS,H,0,442,442
150222B2.CXS,H,0,442,442
150222F1.CXS,H,0,442,442
150222F2.CXS,H,0,442,442
150223B1.CXS,H,0,82,82
150223B2.CXS,H,0,82,82
150223F1.CXS,H,0,82,82
150223F2.CXS,H,0,82,82
150224B1.CXS,H,0,446,446
150224B2.CXS,H,0,446,446
150224F1.CXS,H,0,446,446
150224F2.CXS,H,0,446,446
150225B1.CXS,H,1,445,446
150225B2.CXS,H,2,444,446
150225F1.CXS,H,0,446,446
150225F2.CXS,H,0,446,446
150226B1.CXS,H,34,409,443
150226B2.CXS,H,20,423,443
150226F1.CXS,H,1,442,443
150226F2.CXS,H,3,440,443
150227B1.CXS,H,31,416,447
150227B2.CXS,H,22,425,447
150227F1.CXS,H,0,447,447
150227F2.CXS,H,8,439,447
150228B1.CXS,H,31,415,446
150228B2.CXS,H,17,429,446
150228F1.CXS,H,1,445,446
150228F2.CXS,H,4,442,446
150301B1.CXS,H,33,412,445
150301B2.CXS,H,21,424,445
150301F1.CXS,H,0,445,445
150301F2.CXS,H,11,434,445
150302B1.CXS,H,41,406,447
150302B2.CXS,H,25,422,447
150302F1.CXS,H,0,447,447
150302F2.CXS,H,12,435,447
150303B1.CXS,H,34,410,444
150303B2.CXS,H,17,427,444
150303F1.CXS,H,0,444,444
150303F2.CXS,H,7,437,444
150304B1.CXS,H,36,409,445
150304B2.CXS,H,17,428,445
150304F1.CXS,H,4,441,445
150304F2.CXS,H,6,439,445
150305B1.CXS,H,38,409,447
150305B2.CXS,H,20,427,447
150305F1.CXS,H,0,447,447
150305F2.CXS,H,7,440,447
150306B1.CXS,H,26,420,446
150306B2.CXS,H,15,431,446
150306F1.CXS,H,2,444,446
150306F2.CXS,H,5,441,446
150307B1.CXS,H,20,422,442
150307B2.CXS,H,8,434,442
150307F1.CXS,H,0,442,442
150307F2.CXS,H,3,439,442
150308B1.CXS,H,33,414,447
150308B2.CXS,H,12,435,447
150308F1.CXS,H,0,447,447
150308F2.CXS,H,3,444,447
150309B1.CXS,H,27,364,391
150309B2.CXS,H,20,371,391
150309F1.CXS,H,1,390,391
150309F2.CXS,H,3,388,391
150310B1.CXS,H,1,47,48
150310B2.CXS,H,1,47,48
150310F1.CXS,H,0,48,48
150310F2.CXS,H,0,48,48
150311B1.CXS,H,21,424,445
150311B2.CXS,H,16,429,445
150311F1.CXS,H,0,445,445
150311F2.CXS,H,4,441,445
150312B1.CXS,H,21,426,447
150312B2.CXS,H,16,431,447
150312F1.CXS,H,0,447,447
150312F2.CXS,H,1,446,447
150313B1.CXS,H,20,427,447
150313B2.CXS,H,15,432,447
150313F1.CXS,H,0,447,447
150313F2.CXS,H,4,443,447
150314B1.CXS,H,30,417,447
150314B2.CXS,H,15,432,447
150314F1.CXS,H,0,447,447
150314F2.CXS,H,5,442,447
150315B1.CXS,H,34,410,444
150315B2.CXS,H,14,430,444
150315F1.CXS,H,0,444,444
150315F2.CXS,H,4,440,444
150316B1.CXS,H,33,413,446
150316B2.CXS,H,14,432,446
150316F1.CXS,H,0,446,446
150316F2.CXS,H,3,443,446
150317B1.CXS,H,33,401,434
150317B2.CXS,H,14,420,434
150317F1.CXS,H,0,434,434
150317F2.CXS,H,1,433,434
150318B1.CXS,H,28,412,440
150318B2.CXS,H,19,421,440
150318F1.CXS,H,0,440,440
150318F2.CXS,H,7,433,440
150319B1.CXS,H,35,408,443
150319B2.CXS,H,16,427,443
150319F1.CXS,H,0,443,443
150319F2.CXS,H,3,440,443
150320B1.CXS,H,38,404,442
150320B2.CXS,H,20,422,442
150320F1.CXS,H,0,442,442
150320F2.CXS,H,3,439,442
150321B1.CXS,H,26,421,447
150321B2.CXS,H,17,430,447
150321F1.CXS,H,2,445,447
150321F2.CXS,H,5,442,447
150322B1.CXS,H,21,426,447
150322B2.CXS,H,14,433,447
150322F1.CXS,H,1,446,447
150322F2.CXS,H,0,447,447
150323B1.CXS,H,22,422,444
150323B2.CXS,H,17,427,444
150323F1.CXS,H,0,444,444
150323F2.CXS,H,0,444,444
150324B1.CXS,H,31,415,446
150324B2.CXS,H,24,422,446
150324F1.CXS,H,0,446,446
150324F2.CXS,H,0,446,446
150325B1.CXS,H,33,411,444
150325B2.CXS,H,12,432,444
150325F1.CXS,H,0,444,444
150325F2.CXS,H,1,443,444
150326B1.CXS,H,25,409,434
150326B2.CXS,H,17,417,434
150326F1.CXS,H,1,433,434
150326F2.CXS,H,1,433,434
150327B1.CXS,H,31,416,447
150327B2.CXS,H,16,431,447
150327F1.CXS,H,0,447,447
150327F2.CXS,H,3,444,447
150328B1.CXS,H,30,415,445
150328B2.CXS,H,7,438,445
150328F1.CXS,H,0,445,445
150328F2.CXS,H,1,444,445
150329B1.CXS,H,23,419,442
150329B2.CXS,H,16,426,442
150329F1.CXS,H,0,442,442
150329F2.CXS,H,3,439,442
150330B1.CXS,H,34,407,441
150330B2.CXS,H,9,432,441
150330F1.CXS,H,0,441,441
150330F2.CXS,H,0,441,441
150331B1.CXS,H,28,416,444
150331B2.CXS,H,23,421,444
150331F1.CXS,H,0,444,444
150331F2.CXS,H,1,443,444
