150222B1.CXS,0,4411,0
150222B2.CXS,0,4411,0
150222F1.CXS,0,4411,0
150222F2.CXS,0,4411,0
150223B1.CXS,0,819,0
150223B2.CXS,0,819,0
150223F1.CXS,0,819,0
150223F2.CXS,0,819,0
150224B1.CXS,0,4460,0
150224B2.CXS,0,4460,0
150224F1.CXS,0,4460,0
150224F2.CXS,0,4460,0
150225B1.CXS,27,4448,0.006070144
150225B2.CXS,14,4448,0.003147482
150225F1.CXS,0,4448,0
150225F2.CXS,0,4448,0
150226B1.CXS,326,4422,0.073722298
150226B2.CXS,199,4422,0.045002261
150226F1.CXS,18,4422,0.004070556
150226F2.CXS,40,4422,0.009045681
150227B1.CXS,316,4464,0.07078853
150227B2.CXS,195,4464,0.043682796
150227F1.CXS,16,4464,0.003584229
150227F2.CXS,64,4464,0.014336918
150228B1.CXS,304,4449,0.068329962
150228B2.CXS,191,4449,0.042930996
150228F1.CXS,15,4449,0.003371544
150228F2.CXS,50,4449,0.011238481
150301B1.CXS,328,4441,0.073857239
150301B2.CXS,176,4441,0.039630714
150301F1.CXS,7,4441,0.001576222
150301F2.CXS,53,4441,0.011934249
150302B1.CXS,337,4470,0.075391499
150302B2.CXS,194,4470,0.043400447
150302F1.CXS,6,4470,0.001342282
150302F2.CXS,51,4470,0.011409396
150303B1.CXS,343,4448,0.077113309
150303B2.CXS,196,4448,0.044064748
150303F1.CXS,4,4448,0.000899281
150303F2.CXS,47,4448,0.010566547
150304B1.CXS,368,4441,0.08286422
150304B2.CXS,187,4441,0.042107633
150304F1.CXS,20,4441,0.00450349
150304F2.CXS,65,4441,0.014636343
150305B1.CXS,364,4462,0.081577768
150305B2.CXS,167,4462,0.037427163
150305F1.CXS,23,4462,0.005154639
150305F2.CXS,67,4462,0.015015688
150306B1.CXS,317,4461,0.0710603
150306B2.CXS,168,4461,0.037659718
150306F1.CXS,8,4461,0.00179332
150306F2.CXS,40,4461,0.008966599
150307B1.CXS,175,4413,0.039655563
150307B2.CXS,111,4413,0.025152957
150307F1.CXS,2,4413,0.000453206
150307F2.CXS,20,4413,0.004532064
150308B1.CXS,265,4460,0.05941704
150308B2.CXS,158,4460,0.035426009
150308F1.CXS,2,4460,0.00044843
150308F2.CXS,31,4460,0.006950673
150309B1.CXS,266,3904,0.068135246
150309B2.CXS,163,3904,0.041752049
150309F1.CXS,2,3904,0.000512295
150309F2.CXS,14,3904,0.003586066
150310B1.CXS,47,474,0.099156118
150310B2.CXS,23,474,0.048523207
150310F1.CXS,13,474,0.02742616
150310F2.CXS,9,474,0.018987342
150311B1.CXS,255,4441,0.0574195
150311B2.CXS,167,4441,0.037604143
150311F1.CXS,1,4441,0.000225175
150311F2.CXS,28,4441,0.006304886
150312B1.CXS,266,4473,0.059467919
150312B2.CXS,162,4473,0.036217304
150312F1.CXS,1,4473,0.000223564
150312F2.CXS,18,4473,0.004024145
150313B1.CXS,280,4467,0.062681889
150313B2.CXS,148,4467,0.033131856
150313F1.CXS,1,4467,0.000223864
150313F2.CXS,26,4467,0.005820461
150314B1.CXS,287,4457,0.06439309
150314B2.CXS,162,4457,0.036347319
150314F1.CXS,2,4457,0.000448732
150314F2.CXS,33,4457,0.007404083
150315B1.CXS,308,4437,0.069416272
150315B2.CXS,177,4437,0.039891819
150315F1.CXS,2,4437,0.000450755
150315F2.CXS,27,4437,0.006085193
150316B1.CXS,312,4454,0.070049394
150316B2.CXS,183,4454,0.041086664
150316F1.CXS,1,4454,0.000224517
150316F2.CXS,25,4454,0.005612932
150317B1.CXS,297,4338,0.06846473
150317B2.CXS,145,4338,0.033425542
150317F1.CXS,3,4338,0.000691563
150317F2.CXS,35,4338,0.008068234
150318B1.CXS,299,4393,0.068062827
150318B2.CXS,167,4393,0.038015024
150318F1.CXS,6,4393,0.001365809
150318F2.CXS,52,4393,0.011837013
150319B1.CXS,337,4428,0.076106594
150319B2.CXS,180,4428,0.040650407
150319F1.CXS,6,4428,0.001355014
150319F2.CXS,34,4428,0.00767841
150320B1.CXS,329,4418,0.074468085
150320B2.CXS,162,4418,0.036668176
150320F1.CXS,7,4418,0.001584427
150320F2.CXS,34,4418,0.00769579
150321B1.CXS,289,4455,0.064870932
150321B2.CXS,169,4455,0.037934905
150321F1.CXS,5,4455,0.001122334
150321F2.CXS,31,4455,0.006958474
150322B1.CXS,278,4459,0.062345817
150322B2.CXS,179,4459,0.04014353
150322F1.CXS,5,4459,0.001121328
150322F2.CXS,15,4459,0.003363983
150323B1.CXS,216,4446,0.048582996
150323B2.CXS,154,4446,0.034637877
150323F1.CXS,2,4446,0.000449843
150323F2.CXS,11,4446,0.002474134
150324B1.CXS,260,4450,0.058426966
150324B2.CXS,182,4450,0.040898876
150324F1.CXS,1,4450,0.000224719
150324F2.CXS,14,4450,0.003146067
150325B1.CXS,257,4430,0.058013544
150325B2.CXS,191,4430,0.043115124
150325F1.CXS,1,4430,0.000225734
150325F2.CXS,20,4430,0.004514673
150326B1.CXS,261,4343,0.060096707
150326B2.CXS,151,4343,0.034768593
150326F1.CXS,3,4343,0.000690767
150326F2.CXS,40,4343,0.009210223
150327B1.CXS,310,4461,0.069491145
150327B2.CXS,193,4461,0.043263842
150327F1.CXS,4,4461,0.00089666
150327F2.CXS,39,4461,0.008742434
150328B1.CXS,308,4453,0.069166854
150328B2.CXS,154,4453,0.034583427
150328F1.CXS,4,4453,0.000898271
150328F2.CXS,23,4453,0.005165057
150329B1.CXS,281,4405,0.063791146
150329B2.CXS,171,4405,0.038819523
150329F1.CXS,3,4405,0.000681044
150329F2.CXS,18,4405,0.004086266
150330B1.CXS,274,4393,0.062371955
150330B2.CXS,156,4393,0.03551104
150330F1.CXS,3,4393,0.000682905
150330F2.CXS,29,4393,0.006601411
150331B1.CXS,283,4441,0.063724386
150331B2.CXS,188,4441,0.042332808
150331F1.CXS,0,4441,0
150331F2.CXS,21,4441,0.004728665
150401B1.CXS,214,4406,0.048570132
150401B2.CXS,182,4406,0.041307308
150401F1.CXS,0,4406,0
150401F2.CXS,17,4406,0.003858375
150402B1.CXS,225,4418,0.050928022
150402B2.CXS,174,4418,0.039384337
150402F1.CXS,1,4418,0.000226347
150402F2.CXS,6,4418,0.001358081
150403B1.CXS,265,4396,0.060282075
150403B2.CXS,154,4396,0.035031847
150403F1.CXS,4,4396,0.000909918
150403F2.CXS,34,4396,0.007734304
150404B1.CXS,68,4425,0.015367232
150404B2.CXS,39,4425,0.008813559
150404F1.CXS,0,4425,0
150404F2.CXS,3,4425,0.000677966
150405B1.CXS,286,4449,0.064284109
150405B2.CXS,172,4449,0.038660373
150405F1.CXS,3,4449,0.000674309
150405F2.CXS,33,4449,0.007417397
150406B1.CXS,280,4383,0.063883185
150406B2.CXS,161,4383,0.036732831
150406F1.CXS,1,4383,0.000228154
150406F2.CXS,24,4383,0.005475702
150407B1.CXS,219,4441,0.049313218
150407B2.CXS,165,4441,0.037153794
150407F1.CXS,0,4441,0
150407F2.CXS,9,4441,0.002026571
150408B1.CXS,217,4428,0.049006323
150408B2.CXS,164,4428,0.037037037
