150222B1.CXS,FALSE,442,0,442,,Total Files:,1120,,Monthly Percentage of Spiked Data,
150222B2.CXS,FALSE,442,0,442,,Total Files w/ Spikes:,1031,,2/15/15,2.071%
150222F1.CXS,FALSE,442,0,442,,Total Time Ranges:,454043,,3/15/15,3.621%
150222F2.CXS,FALSE,442,0,442,,Total Time Ranges w/ Spikes:,28793,,4/15/15,4.512%
150223B1.CXS,FALSE,82,0,82,,Percentage of Spiked Data:,6.341%,,5/15/15,4.229%
150223B2.CXS,FALSE,82,0,82,,,,,8/15/15,3.990%
150223F1.CXS,FALSE,82,0,82,,Total B1 Files:,280,,9/15/15,4.716%
150223F2.CXS,FALSE,82,0,82,,Total B1 Files w/ Spikes:,277,,10/15/15,4.524%
150224B1.CXS,FALSE,446,0,446,,Total B1 Time Ranges:,120709,,11/15/15,6.960%
150224B2.CXS,FALSE,446,0,446,,Total B1 Time Ranges w/ Spikes:,10904,,12/15/15,8.194%
150224F1.CXS,FALSE,446,0,446,,Percentage of Spiked B1 Data:,9.033%,,1/15/16,11.679%
150224F2.CXS,FALSE,446,0,446,,,,,2/15/16,9.845%
150225B1.CXS,TRUE,445,1,446,,Total B2 Files:,280,,,
150225B2.CXS,TRUE,443,3,446,,Total B2 Files w/ Spikes:,277,,,
150225F1.CXS,FALSE,446,0,446,,Total B2 Time Ranges:,120709,,,
150225F2.CXS,FALSE,446,0,446,,Total B2 Time Ranges w/ Spikes:,10647,,,
150226B1.CXS,TRUE,416,27,443,,Percentage of Spiked B2 Data:,8.820%,,,
150226B2.CXS,TRUE,401,42,443,,,,,,
150226F1.CXS,TRUE,442,1,443,,Total F1 Files:,280,,,
150226F2.CXS,TRUE,435,8,443,,Total F1 Files w/ Spikes:,207,,,
150227B1.CXS,TRUE,421,26,447,,Total F1 Time Ranges:,120709,,,
150227B2.CXS,TRUE,414,33,447,,Total F1 Time Ranges w/ Spikes:,2534,,,
150227F1.CXS,FALSE,447,0,447,,Percentage of Spiked F1 Data:,2.099%,,,
150227F2.CXS,TRUE,435,12,447,,,,,,
150228B1.CXS,TRUE,419,27,446,,Total F2 Files:,280,,,
150228B2.CXS,TRUE,408,38,446,,Total F2 Files w/ Spikes:,270,,,
150228F1.CXS,TRUE,445,1,446,,Total F2 Time Ranges:,120709,,,
